Ano,Município,CaixasMultibanco,DepositosBancarios
2023,Barcelos,96,3736196
2023,Barreiro,76,1701978
2023,Batalha,15,962658
2023,Beja,52,1366902
2023,Belmonte,9,263090
2023,Benavente,38,724042
2023,Bombarral,16,404924
2023,Borba,6,141054
2023,Boticas,4,332210
2023,Braga,208,8712496
2023,Bragança,48,2072916
2023,Cabeceiras de Basto,13,497736
2023,Cadaval,17,296322
2023,Caldas da Rainha,66,2506330
2023,Calheta [R.A.A.],9,97048
2023,Calheta [R.A.M.],12,564206
2023,Câmara de Lobos,20,397338
2023,Caminha,27,801032
2023,Cantanhede,50,1544668
2023,Carregal do Sal,12,230900
2023,Cartaxo,28,673358
2023,Cascais,244,10103242
2023,Castelo Branco,69,2613600
2023,Castelo de Paiva,12,402708
2023,Castro Daire,12,544868
2023,Castro Marim,13,80648
2023,Castro Verde,13,356680
2023,Celorico da Beira,13,380922
2023,Celorico de Basto,11,384196
2023,Chamusca,12,171006
2023,Chaves,43,2039502
2023,Cinfães,13,282454
2023,Coimbra,196,8869272
2023,Condeixa-a-Nova,20,425644
2023,Coruche,19,619628
2023,Covilhã,65,1854926
2023,Crato,6,86110
2023,Elvas,25,725200
2023,Entroncamento,21,629014
2023,Espinho,37,1857050
2023,Esposende,38,1148246
2023,Estarreja,27,1181692
2023,Estremoz,22,608324
2023,Évora,80,3246282
2023,Fafe,40,1722648
2023,Faro,100,4480484
2023,Felgueiras,51,1935940
2023,Ferreira do Alentejo,11,204556
2023,Ferreira do Zêzere,8,179122
2023,Figueira da Foz,74,2329642
2023,Figueira de Castelo Rodrigo,10,218694
2023,Figueiró dos Vinhos,9,208816
2023,Fronteira,6,71552
2023,Funchal,181,7246174
2023,Fundão,41,1176236
2023,Gondomar,109,3573420
2023,Gouveia,17,680174
2023,Grândola,22,685814
2023,Guarda,56,2247756
2023,Guimarães,161,5820940
2023,Horta,25,485990
